Name,               Description,            Primary Color, Primary Variant, Secondary Color, Secondary Variant, Gray-out Color
IDEAS_4_HOMES,          Ideas For Homes,        #69D2E7, #A7DBDB, #FA6900, #F38630, #E0E4CC
FITZ_FITZPATRICK,       Fitz Fitzpatrick,       #DB3340, #1AB7E8, #E3AB28, #9ADA1F, #C8EAF7
CAMPFIRE,               Campfire,               #8C4646, #D96459, #588C73, #F2E394, #F2AE72
ALADIN,                 Aladin,                 #DC403B, #D0C91F, #008BBA, #85C4B9, #DF514C
CHROME_SPORTS,          Chrome Sports,          #FF4C65, #FBE2B4, #59C4C5, #00C8F8, #FFC33C
PAPUA_NEW_GUINEA,       Papua New Guinea,       #5E412F, #FCEBB6, #F07818, #F0A830, #78C0A8
BARNI_DESIGN,           Barni Design,           #DE4D4E, #DA4624, #6E9ECF, #FFD041, #DE593A
INSTAPUZZLE,            Instapuzzle,            #B1EB00, #53BBF4, #FF432E, #FF85CB, #FFAC00
OUR_LITTLE_PROJECTS,    Our Little Projects,    #354458, #3A9AD9, #EB7260, #29ABA4, #E9E0D6
STATE_OF_THE_OWNER,     State of the Owner,     #DD5F32  #E19D29, #4298B5, #ADC4CC, #92B06A
SOFTWARE_MILL,          SoftwareMill,           #5BB12F, #BCCF02, #9B539C, #EB65A0, #73C5E1
IGARANTI,               iGaranti,               #982395, #0087CB, #00A03E, #FFA200, #24A8AC
VINTAGE_ROMANTIC,       Vintage Romantic,       #260126, #59323C, #8C6954, #BFAF80, #F2EEB3
NICHOLAS_JACKSON_DESIGN,Nicholas Jackson Design,#ED1C24, #F05B47, #BFF073, #0DC9F7, #7F7F7F
1920_LEYENDECKER,       1920 Leyendecker,       #3B3A35, #20457C, #FB6648, #5E3448, #ECDFBD
WERKPRESS,              WerkPress,              #35404F, #4AAAA5, #E45F56, #7ACCC8, #A3D39C
SILMO_PARIS,            Silmo Paris,            #DC2742, #AFA577, #ABA918, #8BAD39, #14B8B1
DARK_SUNSET,            Dark Sunset,            #160A47, #60047A, #C91B26, #F2671F, #9C0F5F
COLOR_OF_TRAFFIC,       Color of Traffic,       #0F5959, #17A697, #D93240, #638CA6, #8FD4D9
MANDLOYS,               MandLoys,               #83AA30, #1499D3, #E74700, #4D6684, #3D3D3D
CONTAD,                 Contad,                 #3A0256, #B9006E, #CCC51C, #F05A28, #FFE600
MAGME,                  Magme,                  #6C8672, #68A8AD, #F17D80, #737495, #68A8AD
ENTERPRISE_FOUNDATION,  Enterprise Foundation,  #CD1719, #D40E52, #5C2D50, #0B99BC, #FCE014
SCROLLAB,               Scrollab,               #293E6A, #3B5998, #77BA9B, #74AAF7, #B6A754
MOHIUDDIN_PAREKH,       Mohiuddin Parekh,       #D14D28, #59C8DF, #2B9464, #F5DF65, #B0A472
BOY_COY,                Boy-Coy,                #F15D58, #363635, #83BF17, #A68F58, #DCDDCD
DRUPALCON,              DrupalCon,              #BB0F00, #6E0000, #1BA3E1, #02D0AC, #6D2908
WINDOWS_OF_NEW_YORK,    Windows of New York,    #753A48, #954F47, #C05949, #CBBB58, #9AADBD
LORENZO_VERZINI,        Lorenzo Verzini,        #1352A2, #333332, #FB6964, #FFD464, #F0F1EE
RASPBERRY_THEME,        Raspberry Theme,        #591E23, #D94E67, #73503C, #A68572, #F2D8A7
PAW_STUDIO,             Paw Studio,             #28BE9B, #92DCE0, #EF9950, #D79C8C, #609194
VISUALLY_COLUMBIA,      Visually Columbia,      #2D3033, #6C6E70, #0C98CF, #0AA0D9, #FFF568
ANDAZ,                  Andaz,                  #442D65, #775BA3, #F98A5F, #F8E1B4, #91C5A9
SECRET_KEY,             Secret key,             #3F2860, #7A9A95, #EF6D38, #FA8B60, #90C5A9
FIG,                    FIG,                    #493621, #82683B, #F76835, #D7D1CA, #B8BE1C
VIXIMO,                 Viximo,                 #57102C, #AA2159, #009D97, #7EC2AA, #BCC747
OSAKI,                  Osaki,                  #CC6600, #FF9700, #333300, #999900, #660066
KASHI,                  Kashi,                  #007034, #5DB89D, #F26547, #FFCA00, #8C8535
BASSENETTES,            Bassenettes,            #FF2321, #FF5108, #F7FF3F, #FFFDF8, #000000
ADAM_HARTWIG,           Adam Hartwig,           #02C9C9, #333333, #BCCF3D, #FFC300, #E8A0B8
ALEXANDRA_KUBAN_DESIGN, Alexandra Kuban Design, #466675, #6A8D9D, #FAC8BF, #CCCCCC, #94FFFC
GRAVUAL,                Gravual,                #DE5842, #FCD059, #A2D7D8, #BFE1BF, #EDEDEA
SCOTT_MCCARTHY,         Scott McCarthy,         #D75C37, #67727A, #6991AC, #C3D7DF, #F5F5F5
MADE_TOGETHER,          Made Together,          #021542, #0241E2, #000000, #AAAAAA, #FF534B
LRXD,                   LRXD,                   #86269B, #CC0063, #00B796, #00D2F1, #FE9601
EL_DESIGNO,             El Designo,             #2B2301, #A79E65, #5F9DA1, #73AFB6, #E2D893
